countyFIPS	deaths	type	days_since_first_death
01093	2.0	observed	8
01093	2.0	observed	9
01093	2.0	observed	10
01093	3.0	observed	11
01093	3.0	observed	12
01093	3.0	observed	13
01093	3.0	observed	14
01093	4.0	observed	15
01093	4.0	observed	16
01093	4.0	observed	17
01093	5.0	observed	18
01093	5.0	observed	19
01093	5.0	observed	20
01093	5.0	observed	21
01093	5.0	observed	22
01093	5.0	observed	23
01093	6.0	observed	24
01093	6.0	observed	25
01093	6.0	observed	26
01093	6.0	observed	27
01093	6.0	observed	28
01093	6.0	observed	29
01093	6.0	observed	30
01093	6.0	observed	31
01093	7.0	observed	32
01093	7.0	observed	33
01093	7.0	observed	34
01093	7.0	observed	35
01093	7.0	observed	36
01093	7.0	observed	37
01093	7.0	observed	38
01095	1.0	observed	0
01095	1.0	observed	1
01095	1.0	observed	2
01095	1.0	observed	3
01095	1.0	observed	4
01095	1.0	observed	5
01095	1.0	observed	6
01095	1.0	observed	7
01095	1.0	observed	8
01095	1.0	observed	9
01095	1.0	observed	10
01095	2.0	observed	11
01095	2.0	observed	12
01095	2.0	observed	13
01095	3.0	observed	14
01095	4.0	observed	15
01095	4.0	observed	16
01095	4.0	observed	17
01095	5.0	observed	18
01095	5.0	observed	19
01095	5.0	observed	20
01095	6.0	observed	21
01095	6.0	observed	22
01095	6.0	observed	23
01095	7.0	observed	24
01095	7.0	observed	25
01095	7.0	observed	26
01095	7.0	observed	27
01095	8.0	observed	28
01095	8.0	observed	29
01095	8.0	observed	30
01095	8.0	observed	31
01095	8.0	observed	32
01095	8.0	observed	33
01095	8.0	observed	34
01097	1.0	observed	0
01097	1.0	observed	1
01097	2.0	observed	2
01097	3.0	observed	3
01097	4.0	observed	4
01097	5.0	observed	5
01097	5.0	observed	6
01097	5.0	observed	7
01097	6.0	observed	8
01097	7.0	observed	9
01097	7.0	observed	10
01097	9.0	observed	11
01097	9.0	observed	12
01097	9.0	observed	13
01097	9.0	observed	14
01097	12.0	observed	15
01097	12.0	observed	16
01097	12.0	observed	17
01097	16.0	observed	18
01097	18.0	observed	19
01097	18.0	observed	20
01097	18.0	observed	21
01097	28.0	observed	22
01097	33.0	observed	23
01097	38.0	observed	24
01097	40.0	observed	25
01097	40.0	observed	26
01097	41.0	observed	27
01097	43.0	observed	28
01097	46.0	observed	29
01097	53.0	observed	30
01097	55.0	observed	31
01097	61.0	observed	32
01097	61.0	observed	33
01097	62.0	observed	34
01097	66.0	observed	35
01097	71.0	observed	36
01097	76.0	observed	37
01097	78.0	observed	38
01097	81.0	observed	39
01097	83.0	observed	40
01097	85.0	observed	41
01097	90.0	observed	42
01099	1.0	observed	0
01099	1.0	observed	1
01099	1.0	observed	2
01099	1.0	observed	3
01099	1.0	observed	4
01099	1.0	observed	5
01099	1.0	observed	6
01099	1.0	observed	7
01099	1.0	observed	8
01099	1.0	observed	9
01099	1.0	observed	10
01099	1.0	observed	11
01099	1.0	observed	12
01099	1.0	observed	13
01099	1.0	observed	14
01099	1.0	observed	15
01099	1.0	observed	16
01099	1.0	observed	17
01099	1.0	observed	18
01099	1.0	observed	19
01099	1.0	observed	20
01099	1.0	observed	21
01099	1.0	observed	22
01101	1.0	observed	0
01101	1.0	observed	1
01101	1.0	observed	2
01101	1.0	observed	3
01101	1.0	observed	4
01101	1.0	observed	5
01101	1.0	observed	6
01101	1.0	observed	7
01101	1.0	observed	8
01101	1.0	observed	9
01101	1.0	observed	10
01101	1.0	observed	11
01101	1.0	observed	12
01101	1.0	observed	13
01101	1.0	observed	14
01101	1.0	observed	15
01101	1.0	observed	16
01101	1.0	observed	17
01101	1.0	observed	18
01101	1.0	observed	19
01101	1.0	observed	20
01101	3.0	observed	21
01101	3.0	observed	22
01101	3.0	observed	23
01101	4.0	observed	24
